stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
725,17401,Ceramika 01,,52.9916987815761,18.6482566595078,,,
706,17602,Włocławska nż. 02,,52.987765,18.665154,,,
86,17701,Solankowa nż. 01,,52.981609,18.670713,,,
77,35201,Matysiaków 01,,52.9759060457019,18.6776429414749,,,
462,35301,Zdrojowa nż. 01,,52.9779474767188,18.6838281154633,,,
134,34301,Gardzielewskiego 01,,52.9816004930874,18.6853891611099,,,
509,42900,Czerniewice 00,,52.9837321552583,18.6839893700964,,,
714,59001,UNIWERSYTET 01,,53.022917,18.565944,,,
83,58903,Szosa Okrężna 03,,53.019573,18.565716,,,
705,58704,Aula UMK 04,,53.017962,18.569566,,,
678,58504,Akademiki 04,,53.017512,18.574232,,,
175,58304,Od Nowa 04,,53.018208,18.578709,,,
662,59104,Fałata 04,,53.016481,18.580257,,,
472,28301,Aleja Solidarności 01,,53.0133559568548,18.6030212044716,,,
97,30301,Plac Św. Katarzyny 01,,53.013035,18.611533,,,
47,34201,Dworzec Miasto 01,,53.0109940672711,18.6194620768505,,,
239,14101,Gołębia 01,,53.015484,18.631452,,,
756,14503,Targowa 03,,53.018349,18.639361,,,
255,15201,Plac Daszyńskiego 01,,53.021508,18.64926,,,
636,15503,Rydygiera 03,,53.023143,18.659682,,,
45,15901,Przy Skarpie 01,,53.024181,18.666531,,,
386,16203,Jamontta 03,,53.025378,18.672195,,,
690,10603,Ślaskiego 03,,53.023506,18.675822,,,
399,10701,Wyszyńskiego 01,,53.023155,18.682265,,,
362,10901,Ligi Polskiej 01,,53.022857,18.690187,,,
122,11101,Kosynierów Kośc. 01,,53.024169,18.695573,,,
102,11302,OLIMPIJSKA P&R 02,,53.02692,18.700676,,,
670,27801,PORT DRZEWNY 01,,53.0198308183857,18.5109107268803,,,
467,27602,Starotoruńska 02,,53.018941,18.52151,,,
277,57002,Centrum Handlowe-Zachód nż. 02,,53.016337,18.536763,,,
651,27402,Oczyszczalnia nż. 02,,53.015914,18.541204,,,
733,27204,Szosa Bydgoska nż. 04,,53.014787,18.556483,,,
873,00908,PLAC SKALSKIEGO 08,,53.013485,18.562501,,,
505,25501,Reja 01,,53.015495,18.571623,,,
668,06402,Akademiki 02,,53.0173456315718,18.5752522945404,,,
498,31102,Od Nowa 02,,53.0190317532642,18.5821589827538,,,
223,30902,św. Józefa 02,,53.022427,18.584022,,,
67,35802,Szpital Bielany 02,,53.027555,18.585507,,,
455,28901,Żwirki i Wigury 04,,53.028213,18.588999,,,
682,63703,Wybickiego 03,,53.024768,18.593476,,,
374,63902,Popiela 02,,53.026259,18.602842,,,
112,64101,Sczanieckiego 01,,53.026755,18.610926,,,
743,07001,Kościuszki 01,,53.024514,18.611238,,,
638,08601,Świętopełka 01,,53.0235637863107,18.6186718940735,,,
630,03504,Dworzec Wschodni 04,,53.0251341882262,18.6341227441109,,,
244,34504,Wschodnia 04,,53.02865,18.643673,,,
512,26101,Donimirskiego 01,,53.0292616299683,18.6521458625793,,,
320,17901,Rubinkowo Centrum 01,,53.02842,18.657672,,,
53,05801,Manhattan 01,,53.0277017345724,18.6670964956284,,,
585,06001,Przybyłów 01,,53.028643,18.672823,,,
524,30504,Ślaskiego 04,,53.0233895482014,18.6760041117668,,,
281,10803,Wyszyńskiego 03,,53.0228394028855,18.6834874749184,,,
479,12605,Ligi Polskiej 05,,53.023633,18.68916,,,
381,12701,Witosa 01,,53.025815,18.687974,,,
10,47400,BIELAWY 00,,53.032989,18.691247,,,
596,25101,Przy Kaszowniku 03,,53.0170326026853,18.6146512627602,,,
